Month,market_segment_type,Sum of no_of_adults,Average of avg_price_per_room
Jan,,,
,Offline,1012,85.36483607
,Online,2869,100.3289858
Feb,,,
,Offline,1007,78.24317032
,Online,4304,103.2562997
Mar,,,
,Offline,2142,92.53560105
,Online,5529,107.8481889
Apr,,,
,Offline,1919,90.11992395
,Online,5937,111.041076
May,,,
,Offline,1580,93.4412766
,Online,4838,115.8797438
Jun,,,
,Offline,2372,104.2224914
,Online,4454,111.1531624
Jul,,,
,Offline,298,94.60946108
,Online,361,76.6094898
Aug,,,
,Offline,658,96.32623907
,Online,1224,88.41546945
Sep,,,
,Offline,1379,99.85698433
,Online,1516,106.3525142
Oct,,,
,Offline,1731,88.5947929
,Online,1547,95.90889878
Nov,,,
,Offline,471,66.13909091
,Online,628,77.81489848
Dec,,,
,Offline,704,69.94983425
,Online,987,78.93574205
(blank),,,
,(blank),,
